test_start,test_end,is_sharpe,is_dsr,type,kelly_ewma_span,min_rebalance_interval_days,execution_max_days
2020-01-02,2020-06-30,1.427,0.9447831460418574,OPTIMIZED,30,10,1
2020-06-30,2020-12-27,1.361,1.0410784759057254,OPTIMIZED,30,3,1
2020-12-27,2021-06-25,1.148,0.8999737711819745,OPTIMIZED,30,3,1
2021-06-25,2021-12-22,2.548,2.343514118854512,OPTIMIZED,90,3,1
2021-12-22,2022-06-20,2.312,2.1303320525702794,OPTIMIZED,60,10,1
2022-06-20,2022-12-17,0.637,0.3889573686326339,OPTIMIZED,60,10,1
2022-12-17,2023-06-15,-0.414,-0.7529205220552712,NAIVE_FALLBACK,60,3,1
2023-06-15,2023-12-12,-0.064,-0.6170220633841663,NAIVE_FALLBACK,30,3,1
2023-12-12,2024-06-09,0.018,-0.3184233464149144,NAIVE_FALLBACK,30,3,1
2024-06-09,2024-12-06,1.661,1.2572226767046473,OPTIMIZED,90,5,1
2024-12-06,2025-06-04,2.196,1.948439441018712,OPTIMIZED,60,5,1
2025-06-04,2025-12-01,1.533,1.41066562219624,OPTIMIZED,30,10,1
2025-12-01,2026-04-20,1.547,1.37579078060762,OPTIMIZED,60,3,1
